age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;do_not_disturb;y
72;retired;married;secondary;no;1247;yes;no;cellular;26;aug;575;1;55;4;unknown;0;no
32;technician;married;primary;no;-2508;no;yes;unknown;17;feb;150;6;255;1;unknown;0;no
44;retired;single;primary;no;4122;yes;yes;cellular;6;jan;159;1;36;3;other;0;yes
51;services;married;secondary;yes;-2465;yes;no;cellular;26;jul;160;6;160;3;unknown;0;yes
53;self-employed;married;tertiary;no;-2928;yes;no;unknown;15;jan;157;10;9;1;unknown;0;yes
21;self-employed;married;secondary;no;4879;no;no;telephone;25;sep;253;11;206;2;unknown;0;yes
57;admin.;married;secondary;no;6768;yes;no;cellular;3;oct;145;10;69;2;unknown;0;no
29;unemployed;single;tertiary;no;-601;no;no;unknown;7;dec;179;7;306;5;unknown;0;no
71;entrepreneur;single;secondary;no;4409;yes;no;cellular;7;jan;66;9;181;5;unknown;0;yes
67;retired;divorced;secondary;no;3789;yes;no;cellular;12;aug;497;1;241;0;unknown;0;no
84;blue-collar;single;primary;no;1125;yes;no;cellular;24;dec;401;8;70;4;unknown;0;yes
71;housemaid;married;tertiary;yes;5407;yes;no;telephone;12;feb;77;11;264;4;other;1;no
44;retired;married;tertiary;no;909;yes;no;cellular;18;oct;71;2;7;5;unknown;0;yes
87;admin.;married;tertiary;no;2952;yes;no;cellular;14;dec;392;4;52;3;unknown;0;no
47;retired;married;secondary;no;-2361;no;yes;cellular;27;jan;173;11;326;2;unknown;0;no
41;services;divorced;secondary;no;-2233;no;yes;cellular;28;jun;338;6;91;4;unknown;0;yes
83;retired;married;primary;no;4907;yes;no;unknown;25;jan;146;8;292;4;unknown;0;no
44;services;married;unknown;no;3053;no;no;cellular;5;jun;548;10;345;2;failure;1;no
23;technician;married;primary;no;972;no;no;cellular;24;nov;351;11;46;4;unknown;0;no
51;student;married;secondary;no;7123;yes;yes;cellular;22;apr;148;1;387;0;unknown;0;yes
75;technician;divorced;tertiary;no;7091;yes;no;unknown;10;oct;143;4;324;5;unknown;0;yes
31;entrepreneur;married;primary;no;2717;yes;no;cellular;7;oct;283;3;219;2;failure;0;yes
51;entrepreneur;married;secondary;no;-2966;no;yes;cellular;28;jan;177;9;123;1;success;0;no
27;unemployed;married;primary;no;1065;yes;no;cellular;21;jul;211;10;78;1;unknown;0;no
67;student;single;secondary;no;-1097;yes;yes;unknown;8;apr;316;10;87;0;unknown;0;no
52;admin.;married;unknown;no;1668;yes;no;cellular;6;dec;193;2;201;1;unknown;0;no
41;management;single;secondary;no;-1408;yes;no;cellular;17;sep;369;8;55;0;unknown;0;no
34;services;married;unknown;no;-2188;yes;no;cellular;15;jul;195;6;186;1;unknown;0;yes
58;unemployed;married;primary;no;-5387;no;yes;cellular;24;aug;403;8;199;4;unknown;0;no
66;unemployed;divorced;secondary;no;1901;no;no;cellular;19;mar;173;3;263;3;unknown;0;no
85;self-employed;married;tertiary;no;-5496;yes;no;cellular;23;jul;8;2;-1;2;unknown;0;no
49;retired;married;tertiary;no;439;yes;no;cellular;13;oct;10;4;127;5;unknown;0;yes
29;services;single;secondary;no;3483;yes;no;cellular;28;dec;157;4;48;4;failure;0;no
77;student;married;secondary;no;-766;yes;no;unknown;28;feb;182;9;351;0;failure;0;no
63;entrepreneur;married;tertiary;no;-1854;no;no;cellular;27;nov;432;3;334;3;unknown;0;yes
68;housemaid;single;tertiary;no;1196;no;no;cellular;20;apr;164;11;391;2;unknown;0;no
25;retired;married;secondary;no;-1085;no;no;cellular;11;nov;92;1;361;2;unknown;0;yes
40;retired;married;primary;no;1956;yes;no;unknown;5;dec;128;7;363;1;unknown;0;no
73;retired;married;primary;no;-1698;no;no;unknown;16;oct;84;6;126;5;other;0;no
77;housemaid;single;secondary;no;1086;no;no;unknown;11;dec;289;4;395;0;unknown;0;no
49;services;married;secondary;no;360;yes;no;unknown;5;jul;335;2;-1;0;failure;0;no
75;student;married;secondary;no;1365;no;no;cellular;9;oct;370;1;49;2;success;0;yes
78;technician;single;secondary;no;6305;no;no;cellular;23;nov;159;4;115;5;unknown;0;yes
45;blue-collar;single;secondary;no;1999;no;no;cellular;9;mar;80;5;96;4;unknown;0;yes
82;management;divorced;secondary;no;2913;yes;no;cellular;3;sep;117;3;316;2;unknown;0;yes
38;entrepreneur;married;secondary;no;-474;yes;no;unknown;6;sep;201;9;304;1;unknown;0;no
35;entrepreneur;married;secondary;no;2069;no;no;cellular;5;jun;118;11;61;1;unknown;0;no
67;student;married;primary;no;575;yes;yes;cellular;6;aug;541;9;183;1;unknown;0;yes
63;housemaid;single;tertiary;no;1488;no;no;cellular;13;aug;146;10;31;3;unknown;0;yes
28;services;married;secondary;no;3346;yes;no;unknown;25;jun;199;4;384;5;unknown;0;no
77;services;single;primary;no;-100;yes;no;unknown;11;aug;69;10;280;3;unknown;0;no
32;self-employed;married;secondary;no;205;no;yes;unknown;28;jun;74;2;54;3;unknown;0;no
75;blue-collar;single;secondary;no;-59;no;no;cellular;25;jun;34;7;305;2;unknown;0;yes
18;technician;single;secondary;no;-117;yes;no;unknown;5;jun;14;6;118;1;unknown;1;no
75;self-employed;married;secondary;no;1919;no;no;unknown;17;jun;594;6;87;0;unknown;0;no
74;entrepreneur;divorced;secondary;no;308;no;no;telephone;23;apr;328;10;256;0;success;0;no
74;admin.;divorced;tertiary;no;5893;no;yes;cellular;20;feb;152;4;84;2;unknown;0;no
65;housemaid;married;primary;no;9437;yes;no;cellular;7;jul;88;7;160;5;unknown;0;no
51;unemployed;married;secondary;no;-303;no;no;telephone;20;jun;467;6;352;4;unknown;0;no
68;unemployed;single;primary;no;2282;yes;no;unknown;15;jan;52;6;140;5;unknown;0;no
37;self-employed;married;secondary;no;4514;no;no;cellular;7;jul;120;4;55;1;unknown;0;no
74;blue-collar;married;secondary;no;602;no;yes;cellular;6;nov;315;8;217;4;unknown;0;no
58;blue-collar;married;tertiary;no;-1583;yes;no;cellular;11;apr;34;7;52;3;unknown;0;yes
51;unemployed;divorced;primary;no;6614;yes;no;unknown;8;nov;36;2;320;0;unknown;0;yes
54;services;married;secondary;no;3458;yes;no;cellular;16;jul;1;5;294;0;unknown;0;no
58;technician;single;secondary;no;2356;yes;no;unknown;12;may;303;7;169;4;unknown;0;no
20;self-employed;married;secondary;no;5751;no;no;cellular;4;nov;199;2;212;1;unknown;0;yes
28;services;married;tertiary;no;3710;no;no;cellular;20;dec;23;1;7;2;unknown;0;yes
35;blue-collar;divorced;primary;no;1256;no;no;cellular;2;dec;313;6;254;4;unknown;1;yes
26;services;married;secondary;no;-1529;no;no;cellular;14;oct;54;2;311;0;unknown;0;no
49;services;married;secondary;no;-79;no;no;cellular;2;aug;107;7;360;1;unknown;0;yes
66;unemployed;married;tertiary;no;5014;no;no;cellular;23;nov;41;1;287;0;failure;1;no
65;housemaid;single;secondary;no;3446;yes;yes;cellular;10;nov;224;10;111;3;unknown;0;no
51;retired;married;tertiary;no;840;no;no;cellular;3;nov;63;7;199;0;unknown;0;yes
79;technician;married;unknown;no;6699;yes;no;cellular;7;oct;241;7;124;4;unknown;1;yes
58;services;married;tertiary;no;928;yes;no;unknown;17;may;442;11;238;0;unknown;0;no
23;technician;married;secondary;no;4362;no;no;cellular;22;dec;93;7;347;3;unknown;0;no
73;self-employed;married;secondary;no;2060;no;no;unknown;3;oct;753;2;143;3;unknown;0;no
59;management;married;primary;no;7198;yes;no;cellular;9;nov;275;10;317;4;unknown;0;no
63;retired;married;tertiary;no;3659;yes;no;cellular;4;feb;184;6;36;4;other;0;no
58;admin.;married;secondary;no;1538;no;no;cellular;7;jan;46;8;284;2;unknown;1;no
57;retired;single;primary;yes;863;yes;no;cellular;9;dec;150;10;317;5;unknown;0;yes
24;student;single;secondary;no;1353;no;no;telephone;17;aug;170;6;311;1;unknown;1;no
58;retired;married;tertiary;no;-776;no;no;unknown;3;aug;371;10;153;5;unknown;0;no
75;entrepreneur;married;tertiary;no;-2700;no;no;cellular;18;sep;100;11;294;5;unknown;0;no
39;services;married;secondary;no;2326;yes;no;cellular;22;sep;306;5;394;4;unknown;1;no
61;technician;divorced;secondary;no;-200;yes;no;unknown;27;jan;228;1;19;3;unknown;0;no
20;housemaid;married;tertiary;no;-208;yes;no;unknown;15;apr;414;9;390;0;failure;0;no
43;admin.;married;tertiary;no;1133;yes;yes;telephone;14;jul;430;9;140;2;unknown;0;no
49;retired;married;tertiary;no;1556;no;no;cellular;19;jan;286;1;123;2;failure;0;no
88;management;married;secondary;no;1422;no;no;cellular;28;nov;372;11;36;2;unknown;0;yes
33;admin.;married;secondary;no;6614;yes;no;unknown;2;feb;444;9;73;0;unknown;0;yes
37;blue-collar;married;tertiary;no;3387;yes;no;cellular;6;jun;327;3;203;5;unknown;0;no
47;student;single;primary;no;7723;yes;no;cellular;7;feb;275;8;302;3;other;1;no
89;admin.;single;secondary;no;83;yes;no;telephone;6;jan;301;8;288;0;unknown;0;no
79;housemaid;single;primary;no;3751;yes;no;cellular;15;jun;542;7;304;0;success;0;no
20;blue-collar;single;secondary;no;249;no;no;cellular;2;oct;242;7;289;4;unknown;0;no
34;entrepreneur;married;tertiary;no;-283;yes;no;cellular;3;apr;365;2;6;3;unknown;0;no
77;technician;divorced;secondary;no;7836;yes;yes;unknown;19;jun;84;11;177;1;unknown;0;no
22;self-employed;single;secondary;no;-904;no;yes;unknown;5;dec;520;4;212;1;unknown;0;yes
79;admin.;single;primary;no;-5295;yes;no;cellular;10;may;309;4;13;0;failure;0;no
38;self-employed;single;tertiary;no;-723;no;yes;unknown;1;nov;150;2;109;3;failure;0;no
84;entrepreneur;married;tertiary;no;-4624;no;no;cellular;22;dec;205;3;109;0;unknown;0;yes
39;management;married;secondary;no;-1453;yes;no;cellular;26;jul;176;1;14;4;failure;0;no
49;admin.;married;tertiary;no;-1175;no;no;cellular;20;aug;220;10;176;2;success;0;no
65;unemployed;married;primary;no;1505;no;no;unknown;13;nov;261;10;168;1;unknown;1;yes
27;admin.;married;tertiary;no;-4748;yes;no;cellular;12;sep;180;1;214;2;other;0;yes
58;unemployed;married;tertiary;no;4987;yes;no;cellular;2;aug;97;2;48;5;unknown;0;yes
54;housemaid;married;primary;no;-4227;no;no;telephone;8;nov;574;5;389;2;unknown;0;no
74;services;divorced;unknown;no;1016;yes;yes;unknown;13;dec;273;3;108;1;unknown;0;no
89;services;single;primary;no;427;yes;no;cellular;2;apr;274;3;244;5;unknown;0;no
65;services;single;secondary;no;3876;yes;yes;telephone;25;sep;210;8;223;0;unknown;1;no
47;services;married;primary;no;2454;yes;no;unknown;18;apr;401;10;-1;1;unknown;0;no
47;technician;single;tertiary;no;4960;no;no;unknown;6;sep;229;4;94;3;unknown;0;no
48;services;divorced;primary;no;315;no;no;unknown;25;feb;157;6;277;3;other;0;yes
76;entrepreneur;single;primary;yes;5;no;no;cellular;7;apr;170;5;141;2;success;0;yes
41;management;single;secondary;no;2638;yes;no;unknown;19;oct;470;5;128;2;unknown;0;yes
30;housemaid;married;unknown;no;4487;no;no;cellular;28;oct;260;1;281;4;unknown;0;no
42;self-employed;married;secondary;no;3875;yes;no;cellular;11;jun;212;8;318;0;other;0;no
19;housemaid;single;secondary;no;2365;yes;no;cellular;24;oct;132;11;321;3;unknown;0;no
25;blue-collar;divorced;secondary;no;2097;yes;no;cellular;26;jun;155;9;171;4;unknown;0;no
24;management;married;tertiary;no;1291;yes;no;cellular;16;jan;436;11;180;1;unknown;0;no
73;student;married;secondary;no;2629;no;no;cellular;19;oct;36;10;268;4;other;0;yes
70;services;married;secondary;no;7504;yes;no;cellular;6;jan;353;5;233;3;unknown;0;yes
68;blue-collar;married;unknown;no;672;yes;no;telephone;24;oct;361;10;145;2;unknown;0;no
51;retired;divorced;secondary;no;306;yes;yes;cellular;7;nov;263;3;128;5;unknown;0;yes
69;housemaid;single;secondary;no;76;no;yes;cellular;9;jan;182;5;386;0;unknown;0;yes
29;unemployed;married;tertiary;no;2568;yes;no;cellular;25;dec;76;8;353;1;unknown;1;no
82;housemaid;married;secondary;no;-4965;no;yes;cellular;6;aug;352;4;117;4;unknown;0;yes
54;student;married;secondary;no;994;yes;yes;unknown;19;aug;99;9;27;0;unknown;0;yes
85;retired;married;secondary;no;4041;yes;no;cellular;11;apr;253;3;381;0;unknown;0;no
28;self-employed;married;tertiary;no;-178;yes;no;unknown;10;mar;230;2;33;5;unknown;0;yes
53;technician;single;tertiary;no;1960;yes;no;cellular;26;jan;373;9;88;0;unknown;0;no
68;student;single;secondary;no;7728;yes;no;unknown;1;jun;40;6;9;5;other;0;no
53;technician;married;secondary;no;2394;yes;no;unknown;21;oct;30;11;308;4;unknown;0;no
50;self-employed;single;secondary;no;-5317;yes;no;cellular;4;jan;326;3;35;5;unknown;1;yes
29;retired;single;primary;no;-2829;yes;yes;unknown;23;mar;185;8;123;0;unknown;0;no
45;student;married;primary;no;646;yes;no;cellular;21;oct;183;3;249;1;unknown;0;no
35;technician;single;primary;no;-1011;no;no;unknown;18;jun;218;6;15;1;unknown;0;yes
39;blue-collar;single;primary;no;1710;yes;no;cellular;19;feb;581;6;399;4;other;0;yes
67;self-employed;single;secondary;no;516;no;no;cellular;1;dec;329;10;310;1;unknown;0;no
63;admin.;married;primary;no;4898;yes;no;cellular;11;may;17;5;238;1;unknown;0;no
61;services;married;primary;no;-1873;yes;no;cellular;21;mar;313;4;221;3;unknown;0;no
44;admin.;married;secondary;no;777;yes;no;unknown;17;jul;416;6;97;3;unknown;0;no
87;management;married;secondary;no;2051;no;no;unknown;6;feb;125;11;233;2;success;0;yes
24;retired;married;primary;no;2423;yes;no;telephone;22;sep;162;5;326;0;success;1;yes
42;unemployed;single;primary;no;1840;no;no;cellular;9;aug;479;7;197;2;unknown;0;yes
26;services;married;secondary;no;-5833;no;no;unknown;19;nov;84;1;137;2;unknown;0;yes
42;technician;married;secondary;no;1649;no;no;unknown;18;apr;164;7;112;3;unknown;0;yes
87;technician;divorced;tertiary;no;947;yes;no;telephone;7;jun;176;1;235;5;success;0;yes
44;student;married;tertiary;no;3992;yes;yes;cellular;2;sep;136;1;356;2;unknown;0;no
83;student;married;tertiary;no;3568;yes;yes;cellular;27;mar;495;3;172;0;unknown;0;no
53;services;single;secondary;no;2122;no;no;cellular;22;may;464;3;263;0;unknown;0;yes
68;services;married;tertiary;no;2339;no;no;unknown;1;feb;159;6;201;0;failure;0;yes
50;admin.;married;secondary;yes;5457;yes;yes;cellular;6;sep;16;3;192;5;unknown;0;yes
37;student;single;secondary;no;4850;yes;no;cellular;16;aug;474;3;36;3;unknown;0;yes
73;entrepreneur;married;secondary;no;2225;yes;no;cellular;25;feb;374;10;131;1;unknown;0;yes
87;housemaid;married;secondary;no;7836;no;no;cellular;7;feb;216;7;371;4;unknown;0;yes
36;management;married;secondary;no;-484;yes;no;cellular;15;may;350;1;352;5;unknown;0;yes
74;entrepreneur;single;primary;no;-2156;no;no;unknown;20;aug;349;9;117;2;failure;0;no
36;admin.;married;tertiary;no;1367;yes;yes;unknown;25;oct;45;8;233;4;unknown;0;no
69;entrepreneur;single;primary;no;278;no;no;cellular;16;jun;101;10;237;4;unknown;0;yes
74;unemployed;married;secondary;no;-5996;yes;no;cellular;12;oct;221;6;352;1;unknown;0;no
50;management;single;tertiary;no;-557;yes;no;cellular;6;may;166;11;-1;5;unknown;0;no
71;entrepreneur;married;secondary;no;2430;no;no;unknown;16;aug;151;11;117;5;unknown;0;yes
37;entrepreneur;married;primary;no;1225;no;no;unknown;15;apr;61;5;180;4;unknown;0;yes
23;retired;married;secondary;no;-929;yes;no;cellular;25;aug;254;1;204;5;unknown;0;no
24;services;single;secondary;no;1526;no;no;cellular;15;nov;5;11;305;2;unknown;0;yes
50;admin.;married;unknown;no;1769;yes;yes;unknown;22;apr;305;8;132;4;failure;0;yes
82;student;married;tertiary;no;3545;yes;no;cellular;12;sep;264;10;242;3;unknown;0;yes
27;management;married;tertiary;no;-524;yes;yes;cellular;14;jun;199;1;338;3;unknown;0;yes
50;management;married;secondary;no;4021;yes;no;cellular;2;jul;313;4;123;1;unknown;0;no
68;entrepreneur;single;tertiary;no;-1871;no;no;cellular;14;jul;338;1;197;2;unknown;0;yes
32;services;married;tertiary;no;-110;yes;yes;cellular;6;jun;172;5;258;0;failure;0;yes
69;retired;married;primary;no;6496;yes;no;telephone;10;aug;227;9;319;2;unknown;0;no
40;entrepreneur;married;secondary;no;-1671;no;no;telephone;28;may;84;2;316;0;unknown;0;yes
76;unemployed;married;primary;no;-576;yes;no;cellular;19;feb;81;5;158;3;failure;0;no
59;entrepreneur;married;secondary;no;-2359;yes;no;cellular;6;may;536;10;58;2;unknown;0;no
57;admin.;married;tertiary;yes;-1081;yes;no;cellular;16;jun;179;4;42;0;unknown;0;no
30;retired;married;secondary;no;1815;no;yes;cellular;13;nov;217;6;20;1;unknown;0;yes
51;blue-collar;divorced;secondary;no;3519;yes;no;cellular;22;aug;204;5;189;5;other;0;no
79;unemployed;married;tertiary;no;1344;no;no;cellular;9;jun;294;3;181;0;failure;0;yes
19;technician;single;primary;no;425;no;yes;unknown;18;nov;111;11;95;1;failure;0;yes
72;technician;married;primary;no;-2328;no;no;cellular;22;jan;130;9;171;2;unknown;0;no
53;housemaid;married;tertiary;no;-781;no;no;cellular;21;sep;407;5;274;4;unknown;0;no
69;entrepreneur;married;tertiary;no;-3238;no;no;unknown;17;dec;77;10;12;5;unknown;0;yes
65;housemaid;married;tertiary;no;3609;no;no;cellular;1;sep;257;6;96;4;unknown;0;no
49;services;single;secondary;no;3818;no;no;cellular;21;aug;55;8;270;0;other;0;no
40;student;single;unknown;no;1278;yes;no;cellular;27;jul;181;4;92;2;unknown;0;no
63;management;single;tertiary;no;2724;yes;no;cellular;18;feb;203;5;230;5;unknown;0;yes
28;entrepreneur;single;secondary;no;4028;no;no;cellular;17;feb;10;11;309;4;unknown;0;yes
60;technician;married;secondary;no;1703;yes;no;telephone;15;feb;46;3;120;0;unknown;0;no
24;student;married;secondary;no;5580;no;yes;cellular;3;dec;739;5;35;2;unknown;0;yes
64;management;single;tertiary;no;-1671;no;no;cellular;27;may;328;9;106;2;unknown;0;no
63;housemaid;married;tertiary;no;353;yes;no;unknown;11;dec;333;4;254;1;unknown;1;yes
24;management;married;secondary;no;-3;yes;no;cellular;20;aug;209;9;111;5;other;0;yes
72;housemaid;divorced;secondary;no;3341;yes;no;cellular;16;oct;18;5;364;4;failure;0;yes
47;retired;divorced;tertiary;no;-2902;yes;no;cellular;20;dec;186;6;40;0;unknown;0;yes
74;admin.;single;secondary;no;5743;no;no;cellular;3;jul;148;11;179;1;unknown;0;no
20;services;married;secondary;no;3085;yes;no;cellular;20;jan;164;9;370;3;other;0;yes
30;entrepreneur;single;primary;no;6650;yes;yes;cellular;16;oct;578;11;293;4;unknown;0;no
53;services;married;primary;no;1278;yes;no;cellular;14;may;202;3;18;4;unknown;0;no
31;management;married;tertiary;no;-250;yes;no;cellular;21;feb;53;10;108;5;unknown;0;no
41;blue-collar;married;primary;no;3371;yes;no;unknown;18;apr;244;6;11;3;unknown;1;no
65;services;divorced;primary;no;4491;yes;no;cellular;22;dec;55;9;383;1;unknown;0;no
28;technician;divorced;tertiary;no;-743;no;no;cellular;17;jun;32;4;311;0;failure;0;yes
66;unemployed;single;tertiary;no;-4592;yes;no;cellular;22;jul;527;9;95;0;unknown;0;no
25;entrepreneur;married;primary;no;-4078;yes;no;cellular;25;oct;116;11;180;3;failure;0;yes
30;housemaid;married;secondary;no;2184;yes;no;cellular;23;jul;216;6;175;3;unknown;0;yes
60;student;married;tertiary;no;6020;no;no;cellular;28;feb;240;5;323;0;unknown;0;no
75;technician;divorced;secondary;no;-2502;no;no;cellular;16;feb;185;6;37;2;unknown;0;yes
30;retired;married;secondary;no;582;yes;no;unknown;14;dec;112;3;200;2;unknown;0;yes
39;services;married;secondary;no;354;no;no;unknown;2;mar;673;7;290;2;unknown;0;no
84;self-employed;single;secondary;no;7161;no;no;cellular;17;apr;71;3;358;1;success;0;no
89;blue-collar;married;tertiary;no;8176;no;no;unknown;20;jan;41;8;135;1;unknown;0;no
59;technician;single;primary;no;2673;no;no;cellular;9;oct;318;11;135;4;unknown;0;no
50;entrepreneur;married;secondary;no;4094;no;no;unknown;2;jul;36;9;256;4;unknown;0;no
42;admin.;single;primary;no;4010;yes;no;cellular;24;aug;424;11;231;4;success;0;no
62;management;married;primary;no;-2440;yes;no;telephone;4;mar;179;5;363;5;unknown;0;no
60;entrepreneur;married;primary;no;3495;no;yes;cellular;20;jul;245;9;83;1;unknown;1;no
39;blue-collar;married;tertiary;no;-1658;yes;no;telephone;28;jul;279;7;151;2;unknown;0;no
19;housemaid;married;primary;no;885;yes;no;cellular;26;nov;152;6;176;3;unknown;0;no
28;unemployed;single;secondary;no;4819;no;no;cellular;7;sep;403;7;204;3;unknown;0;no
87;self-employed;married;primary;no;1642;no;no;cellular;17;aug;349;8;47;4;unknown;0;no
48;unemployed;married;tertiary;no;4707;yes;no;cellular;27;sep;323;1;57;5;unknown;0;yes
52;admin.;single;secondary;no;5297;no;no;cellular;20;oct;82;8;196;2;unknown;0;yes
51;admin.;married;tertiary;no;-3870;yes;no;cellular;9;mar;150;6;28;3;unknown;0;yes
74;housemaid;single;secondary;no;-5133;no;yes;cellular;3;aug;197;2;180;5;unknown;0;yes
22;admin.;single;secondary;no;4886;no;no;cellular;15;dec;567;2;59;3;unknown;0;yes
23;retired;married;secondary;no;5007;no;no;cellular;17;sep;62;2;4;1;unknown;0;yes
37;admin.;single;primary;no;2169;no;no;cellular;6;nov;92;10;162;4;unknown;0;yes
53;management;married;unknown;no;2576;no;no;cellular;11;jan;436;5;30;0;other;0;no
66;unemployed;married;unknown;no;4079;no;no;cellular;12;nov;32;5;254;4;unknown;1;yes
53;technician;married;secondary;no;4023;yes;no;unknown;15;aug;88;5;222;0;unknown;0;no
49;blue-collar;single;secondary;no;487;yes;no;cellular;2;mar;554;8;54;1;unknown;0;no
85;student;single;secondary;no;4267;yes;yes;unknown;10;nov;293;6;284;5;unknown;0;yes
29;admin.;married;secondary;no;360;yes;no;cellular;24;nov;391;11;113;1;unknown;0;yes
59;admin.;divorced;tertiary;no;2130;no;no;cellular;9;aug;364;4;262;3;unknown;0;no
57;services;married;tertiary;no;2000;yes;no;cellular;23;dec;243;11;377;2;unknown;0;no
52;self-employed;divorced;secondary;no;-1178;no;no;cellular;23;oct;238;7;286;0;unknown;0;no
76;retired;single;tertiary;no;-828;yes;yes;unknown;25;jun;397;8;117;3;unknown;0;no
37;entrepreneur;divorced;tertiary;no;8102;yes;no;cellular;16;dec;50;9;188;2;unknown;0;yes
86;admin.;divorced;secondary;no;-1275;yes;yes;cellular;11;jun;566;10;116;5;failure;0;yes
41;housemaid;divorced;secondary;no;2509;yes;yes;telephone;8;feb;113;10;132;1;unknown;0;no
